student_id,class_name,subject,score,ai_tool_used,study_hours,record_date
S0001,Class 5A,Math,55.5,False,3.2,2025-04-10
S0002,Class 5A,History,68.2,True,1.8,2025-03-18
S0003,Class 5B,History,75.1,True,6.3,2025-04-19
S0004,Class 5B,History,72.0,True,2.4,2025-01-17
S0005,Class 6B,Math,65.3,True,4.1,2025-03-05
S0006,Class 5A,History,80.8,True,3.6,2025-02-21
S0007,Class 5B,Math,63.6,True,3.1,2025-02-04
S0008,Class 5A,History,78.0,True,6.7,2025-02-01
S0009,Class 6A,Math,58.2,False,2.5,2025-02-23
S0010,Class 6A,Science,74.8,False,8.6,2025-01-10
S0011,Class 6A,History,81.8,True,2.9,2025-02-15
S0012,Class 5B,History,83.4,True,9.2,2025-02-06
S0013,Class 6A,History,73.8,False,4.6,2025-03-12
S0014,Class 6B,Math,70.2,False,8.7,2025-04-03
S0015,Class 6B,Math,76.2,True,6.4,2025-03-17
S0016,Class 5A,Math,71.4,False,5.8,2025-01-20
S0017,Class 6A,History,72.5,True,1.0,2025-03-11
S0018,Class 5B,Math,67.8,False,3.7,2025-01-25
S0019,Class 6A,Science,68.2,False,8.0,2025-02-16
S0020,Class 6B,Math,84.5,True,4.3,2025-02-05
S0021,Class 5A,Science,77.0,False,9.5,2025-01-14
S0022,Class 5B,Science,78.2,False,9.5,2025-03-24
S0023,Class 6B,Science,80.0,False,7.8,2025-02-26
S0024,Class 6A,History,60.3,False,5.1,2025-01-08
S0025,Class 5B,Science,72.1,True,7.4,2025-01-10
S0026,Class 6A,Math,65.3,False,3.5,2025-04-08
S0027,Class 6B,Science,68.4,False,8.3,2025-03-02
S0028,Class 6A,History,84.9,True,8.8,2025-03-29
S0029,Class 5A,Math,74.0,True,4.1,2025-01-30
S0030,Class 6B,Science,77.8,True,3.5,2025-03-03
S0031,Class 5A,Math,61.3,False,5.9,2025-04-12
S0032,Class 5B,Science,87.5,True,5.3,2025-01-27
S0033,Class 6B,Math,65.5,False,3.4,2025-03-01
S0034,Class 6B,Science,71.8,True,3.0,2025-01-13
S0035,Class 6A,Math,82.0,True,5.3,2025-01-13
S0036,Class 5A,Science,70.2,True,1.6,2025-03-19
S0037,Class 5B,Math,68.9,False,4.8,2025-02-08
S0038,Class 5B,English,74.3,True,4.6,2025-02-15
S0039,Class 5A,Math,87.1,True,10.0,2025-02-02
S0040,Class 6A,Science,78.4,False,8.9,2025-01-26
S0041,Class 6B,English,73.8,False,9.9,2025-04-20
S0042,Class 6A,Math,52.9,False,2.2,2025-03-17
S0043,Class 5B,English,73.3,True,2.9,2025-04-25
S0044,Class 6A,History,85.6,True,9.2,2025-04-22
S0045,Class 6A,Math,81.7,True,7.9,2025-04-10
S0046,Class 6B,History,66.7,False,2.0,2025-01-25
S0047,Class 5A,English,56.4,False,2.3,2025-04-17
S0048,Class 5A,English,73.4,True,3.2,2025-02-27
S0049,Class 5B,Science,88.5,False,9.8,2025-01-09
S0050,Class 5B,English,72.5,False,4.7,2025-02-06
S0051,Class 6A,Science,69.0,False,2.0,2025-02-03
S0052,Class 5B,History,84.4,True,8.4,2025-03-31
S0053,Class 5B,History,87.2,True,8.8,2025-03-29
S0054,Class 6B,English,58.7,False,2.0,2025-02-08
S0055,Class 5A,Math,67.0,False,4.1,2025-03-12
S0056,Class 5A,History,59.0,False,2.7,2025-03-13
S0057,Class 5B,English,94.0,True,9.5,2025-03-31
S0058,Class 5A,English,75.6,False,7.0,2025-03-17
S0059,Class 5B,Science,96.3,True,9.5,2025-03-25
S0060,Class 6A,History,56.1,False,1.0,2025-03-21
S0061,Class 6A,History,87.1,True,7.1,2025-04-17
S0062,Class 5B,Math,76.6,True,7.0,2025-04-12
S0063,Class 5B,English,63.1,True,2.8,2025-03-07
S0064,Class 5A,History,81.6,True,6.7,2025-03-10
S0065,Class 6B,Science,91.8,True,7.2,2025-01-19
S0066,Class 6B,Science,81.5,True,9.6,2025-02-06
S0067,Class 5A,History,78.7,True,5.2,2025-02-15
S0068,Class 6B,History,77.0,False,5.9,2025-03-07
S0069,Class 6B,English,80.6,False,8.6,2025-03-09
S0070,Class 5B,English,78.0,True,7.4,2025-03-16
S0071,Class 5A,Science,67.8,True,4.4,2025-02-28
S0072,Class 6B,English,64.7,False,4.7,2025-04-14
S0073,Class 5A,History,84.7,True,9.5,2025-04-22
S0074,Class 6B,Science,71.3,True,3.5,2025-04-01
S0075,Class 6B,Science,82.7,False,9.3,2025-02-25
S0076,Class 5A,Math,54.1,False,2.2,2025-02-23
S0077,Class 6A,Science,74.4,True,4.0,2025-04-22
S0078,Class 6B,English,63.3,False,5.2,2025-02-19
S0079,Class 5B,Math,82.0,False,6.9,2025-01-31
S0080,Class 5A,Science,81.4,True,5.3,2025-03-06
S0081,Class 6A,English,76.8,True,6.5,2025-04-20
S0082,Class 5B,English,68.6,True,1.2,2025-02-23
S0083,Class 6B,Science,77.3,True,7.2,2025-04-14
S0084,Class 6A,Math,69.0,False,6.1,2025-03-31
S0085,Class 6A,Math,73.5,False,4.1,2025-01-19
S0086,Class 6B,English,77.5,False,8.5,2025-04-09
S0087,Class 6A,History,83.5,True,8.4,2025-02-06
S0088,Class 5A,English,65.6,False,3.2,2025-02-23
S0089,Class 6A,Math,71.8,True,3.9,2025-02-08
S0090,Class 6A,English,65.1,False,7.3,2025-01-30
S0091,Class 5A,Science,74.1,False,5.4,2025-03-29
S0092,Class 6B,History,61.9,False,1.8,2025-02-14
S0093,Class 6A,History,70.0,False,4.1,2025-02-20
S0094,Class 6B,English,71.3,True,3.1,2025-04-11
S0095,Class 5B,Science,87.6,True,5.4,2025-03-14
S0096,Class 6A,Math,61.3,False,3.7,2025-04-06
S0097,Class 5B,English,73.5,True,1.5,2025-03-28
S0098,Class 6B,Math,70.4,False,6.2,2025-01-29
S0099,Class 5A,English,69.6,False,5.3,2025-01-15
S0100,Class 5A,Science,85.9,True,6.1,2025-01-21
S0101,Class 6B,Science,66.2,False,4.4,2025-03-22
S0102,Class 6B,English,56.1,False,1.5,2025-04-13
S0103,Class 5B,Science,67.2,True,1.7,2025-01-26
S0104,Class 5A,History,74.1,True,6.3,2025-04-06
S0105,Class 6A,History,74.8,True,3.1,2025-03-22
S0106,Class 5B,History,65.1,True,3.0,2025-01-24
S0107,Class 5A,Math,77.3,True,3.8,2025-02-11
S0108,Class 6B,Math,69.2,True,3.7,2025-03-16
S0109,Class 6B,History,64.5,True,1.4,2025-02-07
S0110,Class 5A,Math,86.9,True,7.1,2025-01-08
S0111,Class 6A,Math,61.7,False,2.6,2025-02-10
S0112,Class 5B,History,64.6,False,5.4,2025-02-17
S0113,Class 6A,Math,63.8,False,4.0,2025-02-26
S0114,Class 5A,History,73.7,True,3.3,2025-04-26
S0115,Class 5A,History,74.1,True,2.7,2025-03-27
S0116,Class 6B,Math,82.1,True,5.9,2025-04-05
S0117,Class 6B,Math,87.3,True,6.7,2025-02-14
S0118,Class 5A,History,92.3,True,9.9,2025-01-21
S0119,Class 5B,History,64.9,False,3.6,2025-03-08
S0120,Class 6B,Science,69.1,True,2.3,2025-04-11
S0121,Class 5B,Math,90.9,True,8.1,2025-03-11
S0122,Class 6A,Math,82.5,True,3.7,2025-03-09
S0123,Class 5B,History,67.3,False,4.1,2025-03-05
S0124,Class 6A,Science,68.7,False,3.1,2025-02-27
S0125,Class 5A,English,74.3,False,7.3,2025-03-31
S0126,Class 5B,History,61.4,False,2.1,2025-01-18
S0127,Class 6B,Math,68.6,False,5.1,2025-03-30
S0128,Class 5B,Math,90.4,True,9.7,2025-03-30
S0129,Class 5A,English,74.1,False,8.7,2025-04-07
S0130,Class 6B,Math,61.5,False,3.1,2025-02-04
S0131,Class 5A,History,70.3,False,7.8,2025-01-27
S0132,Class 6A,Math,81.1,True,8.2,2025-01-24
S0133,Class 5B,History,67.5,False,8.1,2025-02-23
S0134,Class 5B,History,57.6,False,2.3,2025-02-07
S0135,Class 5A,History,70.8,False,7.1,2025-02-19
S0136,Class 6A,History,75.6,False,5.1,2025-04-25
S0137,Class 6B,Math,88.3,True,6.1,2025-02-12
S0138,Class 5A,History,85.3,True,6.1,2025-01-12
S0139,Class 6B,English,61.1,False,3.1,2025-01-30
S0140,Class 6A,Science,76.6,False,9.1,2025-03-03
S0141,Class 5A,English,63.2,False,1.8,2025-01-28
S0142,Class 5B,Science,77.5,False,8.9,2025-02-09
S0143,Class 5B,English,79.3,False,9.5,2025-02-18
S0144,Class 5A,History,70.3,False,2.3,2025-04-08
S0145,Class 6B,English,67.9,True,4.6,2025-02-22
S0146,Class 6A,History,73.1,False,9.5,2025-01-09
S0147,Class 6A,Science,75.8,False,6.7,2025-03-30
S0148,Class 6B,Math,86.4,True,9.5,2025-01-18
S0149,Class 5B,Science,82.4,True,4.3,2025-03-16
S0150,Class 6B,Science,77.1,False,6.9,2025-02-10
S0151,Class 5A,English,72.4,True,5.0,2025-04-03
S0152,Class 6A,English,84.6,True,3.5,2025-04-21
S0153,Class 6B,Math,65.9,False,6.8,2025-04-16
S0154,Class 6A,Science,79.8,False,8.1,2025-03-17
S0155,Class 5B,Science,70.0,False,3.1,2025-03-23
S0156,Class 5A,English,55.5,False,2.3,2025-01-28
S0157,Class 5A,Math,79.0,True,4.2,2025-01-08
S0158,Class 5B,English,87.9,True,7.7,2025-03-07
S0159,Class 6B,English,68.1,False,2.0,2025-01-11
S0160,Class 6A,History,67.8,False,1.3,2025-03-01
S0161,Class 5A,History,68.0,False,5.0,2025-01-24
S0162,Class 5A,Science,78.9,True,6.7,2025-03-23
S0163,Class 6A,History,63.8,False,4.9,2025-03-30
S0164,Class 5B,History,70.1,True,3.1,2025-02-28
S0165,Class 5A,English,75.3,True,7.0,2025-03-07
S0166,Class 5A,Math,61.9,False,1.8,2025-04-19
S0167,Class 5B,Math,64.2,False,6.1,2025-02-20
S0168,Class 6B,Math,72.4,False,6.4,2025-02-02
S0169,Class 5B,History,70.5,True,2.0,2025-04-13
S0170,Class 6A,Science,85.4,False,8.6,2025-03-25
S0171,Class 5A,English,82.4,True,3.5,2025-02-19
S0172,Class 5A,Science,64.9,False,6.1,2025-03-28
S0173,Class 5A,Math,60.2,False,2.9,2025-02-22
S0174,Class 6A,English,61.6,False,6.1,2025-01-26
S0175,Class 5A,Math,80.9,True,7.0,2025-02-09
S0176,Class 5B,Math,72.6,True,2.0,2025-03-14
S0177,Class 6A,Math,80.5,True,9.9,2025-02-02
S0178,Class 5B,English,68.6,True,2.1,2025-01-22
S0179,Class 6B,Science,72.2,False,8.5,2025-04-26
S0180,Class 5A,History,92.2,True,9.3,2025-03-20
S0181,Class 6B,History,74.9,True,4.6,2025-03-26
S0182,Class 6B,English,85.1,True,8.6,2025-03-14
S0183,Class 5A,History,78.0,False,7.7,2025-01-15
S0184,Class 5A,Science,72.7,False,4.1,2025-04-20
S0185,Class 5B,Science,64.3,True,3.3,2025-04-13
S0186,Class 5A,Science,73.6,False,6.7,2025-03-21
S0187,Class 6B,English,63.5,False,6.6,2025-03-03
S0188,Class 6A,English,63.3,False,4.2,2025-01-10
S0189,Class 5A,English,68.1,False,1.7,2025-03-25
S0190,Class 6B,History,74.1,False,9.6,2025-04-19
S0191,Class 5B,English,71.7,False,5.5,2025-04-19
S0192,Class 6A,Math,60.0,False,2.6,2025-03-03
S0193,Class 5B,English,69.8,True,3.5,2025-03-23
S0194,Class 5A,English,67.4,True,1.9,2025-04-08
S0195,Class 5B,English,82.7,True,7.0,2025-03-30
S0196,Class 6B,Science,76.4,False,9.4,2025-04-17
S0197,Class 6A,Science,81.6,False,8.5,2025-03-14
S0198,Class 5A,History,65.1,False,1.2,2025-02-18
S0199,Class 6B,Science,71.7,True,2.2,2025-01-18
S0200,Class 5A,English,67.6,False,6.6,2025-01-29
S0201,Class 5B,History,84.7,True,4.3,2025-03-25
S0202,Class 6A,History,81.2,True,3.2,2025-04-22
S0203,Class 5B,English,75.2,False,6.1,2025-04-15
S0204,Class 6B,History,73.0,False,8.4,2025-02-07
S0205,Class 5A,History,74.1,False,6.0,2025-04-24
S0206,Class 5A,English,70.3,True,2.4,2025-04-22
